Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,9917.309570,10029.000000,9766.799805,9844.849609,9844.849609,5947900000
2020-04-02,9815.269531,10142.009766,9813.509766,10062.370117,10062.370117,6454990000
2020-04-03,10012.469727,10075.910156,9774.240234,9880.629883,9880.629883,6087190000
2020-04-06,10264.129883,10560.730469,10233.040039,10515.240234,10515.240234,6391860000
2020-04-07,10894.200195,10912.559570,10534.740234,10537.040039,10537.040039,7040720000
2020-04-08,10641.509766,10939.969727,10538.650391,10902.589844,10902.589844,5856370000
2020-04-09,11070.320313,11272.480469,11019.820313,11136.610352,11136.610352,7880140000
2020-04-13,11136.610352,11136.610352,10817.150391,10949.530273,10949.530273,5274310000
2020-04-14,11151.160156,11241.230469,11064.629883,11172.200195,11172.200195,5567400000
2020-04-15,10861.969727,10903.059570,10760.959961,10843.919922,10843.919922,5203390000
2020-04-16,10882.830078,10891.679688,10718.129883,10818.030273,10818.030273,5179990000
2020-04-17,11101.320313,11231.269531,11030.419922,11208.290039,11208.290039,5792140000
2020-04-20,11016.879883,11181.809570,10985.059570,11003.879883,11003.879883,5220160000
2020-04-21,10763.669922,10861.790039,10667.290039,10706.440430,10706.440430,5075830000
2020-04-22,10919.969727,10955.500000,10844.759766,10908.559570,10908.559570,5049660000
2020-04-23,10961.240234,11099.000000,10905.839844,10916.679688,10916.679688,5756520000
2020-04-24,11000.700195,11050.009766,10868.929688,11017.900391,11017.900391,5374480000
2020-04-27,11106.030273,11301.309570,11086.959961,11264.839844,11264.839844,5194260000
2020-04-28,11462.379883,11481.299805,11272.780273,11319.700195,11319.700195,5672880000
2020-04-29,11546.400391,11675.299805,11513.080078,11618.230469,11618.230469,6620140000
2020-04-30,11473.230469,11492.910156,11326.200195,11372.339844,11372.339844,6523120000
2020-05-01,11158.870117,11187.769531,11011.459961,11058.570313,11058.570313,4753160000
2020-05-04,10965.769531,11061.959961,10900.389648,11056.280273,11056.280273,4723140000
2020-05-05,11188.969727,11259.200195,11124.690430,11135.400391,11135.400391,5129590000
2020-05-06,11196.870117,11204.530273,10999.990234,10999.990234,10999.990234,4861920000
2020-05-07,11140.929688,11228.250000,11109.559570,11121.669922,11121.669922,5164640000
2020-05-08,11281.299805,11360.110352,11237.509766,11354.339844,11354.339844,4857160000
2020-05-11,11244.250000,11345.429688,11205.400391,11281.370117,11281.370117,4807320000
2020-05-12,11332.419922,11343.389648,11055.580078,11055.580078,11055.580078,5107710000
2020-05-13,11035.230469,11038.379883,10747.809570,10829.440430,10829.440430,6143130000
2020-05-14,10661.929688,10927.849609,10551.549805,10927.410156,10927.410156,5641920000
2020-05-15,10927.410156,10968.169922,10817.120117,10947.320313,10947.320313,5477040000
2020-05-18,11282.889648,11454.349609,11282.889648,11402.230469,11402.230469,6364290000
2020-05-19,11374.230469,11409.660156,11248.540039,11248.969727,11248.969727,4969330000
2020-05-20,11408.610352,11477.330078,11384.360352,11420.040039,11420.040039,4992970000
2020-05-21,11393.919922,11447.259766,11287.429688,11351.599609,11351.599609,4966940000
2020-05-22,11325.080078,11333.650391,11247.290039,11331.969727,11331.969727,3952800000
2020-05-26,11636.540039,11676.959961,11590.309570,11603.000000,11603.000000,5837060000
2020-05-27,11787.559570,11837.549805,11602.429688,11837.530273,11837.530273,6371230000
2020-05-28,11935.879883,11939.740234,11783.219727,11804.910156,11804.910156,5402670000
2020-05-29,11750.969727,11817.389648,11645.709961,11802.950195,11802.950195,7275080000
2020-06-01,11799.919922,11928.799805,11781.879883,11900.240234,11900.240234,4673410000
2020-06-02,11900.240234,12046.410156,11900.240234,12046.410156,12046.410156,5187230000
2020-06-03,12175.059570,12329.290039,12175.059570,12302.190430,12302.190430,5989560000
2020-06-04,12236.740234,12328.509766,12202.360352,12286.980469,12286.980469,6428130000
2020-06-05,12640.980469,12752.139648,12600.700195,12641.440430,12641.440430,8617590000
